icao,delivery,ground,tower,departure,approach,center
EHRD,\N,\N,EHRD_TWR,\N,EHRD_APP,EHAA_CTR
EICK,\N,EICK_GND,EICK_TWR,\N,EICK_APP,EISN_CTR
EIDL,\N,\N,EIDL_TWR,\N,\N,EISN_CTR
EIDW,EIDW_DEL,EIDW_GND,EIDW_TWR,\N,EIDW_APP,EISN_CTR
EKBI,\N,\N,EKBI_TWR,\N,EKBI_APP,\N
EKCH,EKCH_DEL,EKCH_GND,EKYT_TWR,EKCH_DEP,EKYT_APP,EKDK_CTR
EKYT,\N,\N,EKYT_TWR,\N,EKYT_APP,\N
ELLX,\N,\N,ELLX_TWR,\N,ELLX_APP,EBBU_CTR
ENCN,\N,\N,ENCN_TWR,\N,ENCN_APP,ENOS_CTR
ENGM,ENGM_DEL,ENGM_GND,ENGM_TWR,\N,ENGM_APP,ENOS_CTR
ENNO,\N,\N,ENNO_TWR,\N,ENTO_APP,ENOS_CTR
ENRY,\N,ENRY_GND,ENRY_TWR,\N,ENTO_APP,ENOS_CTR
ENTO,\N,ENTO_GND,ENTO_TWR,\N,ENTO_APP,ENOS_CTR
EPGD,\N,EPGD_GND,EPGD_TWR,\N,EPGD_APP,\N
EPKK,EPKK_DEL,EPKK_GND,EPKK_TWR,\N,EPKK_APP,\N
EPKT,EPKT_DEL,\N,EPKT_TWR,\N,EPKK_APP,\N
EPLL,EPLL_DEL,\N,EPLL_TWR,\N,EPWA_APP,\N
EPMO,EPMO_DEL,\N,EPMO_TWR,\N,EPWA_APP,\N
EPWA,EPWA_DEL,EPWA_GND,EPWA_TWR,\N,EPWA_APP,\N
EVLA,\N,\N,EVLA_TWR,\N,\N,EVRR_CTR
EVRA,\N,EVRA_GND,EVRA_TWR,\N,EVRA_APP,EVRR_CTR
EYKA,\N,\N,\N,\N,EYKA_APP,EYVL_CTR
EYPA,\N,\N,\N,\N,EYPA_APP,EYVL_CTR
EYSA,\N,\N,\N,\N,EYSA_APP,EYVL_CTR
EYVI,\N,\N,EYVI_TWR,\N,EYVI_APP,EYVL_CTR
GCLP,GCLP_DEL,GCLP_GND,GCLP_TWR,\N,GCLP_APP,\N
GMAD,\N,\N,GMAD_TWR,\N,GMAD_APP,\N
GMMN,GMMN_DEL,GMMN_GND,GMMN_TWR,GMMN_DEP,GMMN_APP,\N
GMMX,GMMX_DEL,GMMX_GND,GMMX_TWR,GMMX_DEP,GMMX_APP,\N
GVBA,\N,\N,GVBA_TWR,\N,GVSC_APP,GVSC_CTR
GVNP,\N,\N,GVNP_TWR,\N,GVSC_APP,GVSC_CTR
GVSV,\N,\N,GVSV_TWR,\N,GVSC_APP,GVSC_CTR
HECA,\N,HECA_GND,HECA_TWR,\N,HECA_APP,\N
KAAF,\N,\N,\N,\N,TYN_APP,JAX_CTR
KABE,ABE_DEL,ABE_GND,ABE_TWR,ABE_DEP,ABE_APP,NY_CTR
KABI,\N,ABI_GND,ABI_TWR,\N,ABI_APP,FTW_CTR
KABQ,ABQ_DEL,ABQ_GND,ABQ_TWR,\N,ABQ_APP,ABQ_CTR
KABR,\N,\N,\N,\N,\N,MSP_CTR
KABY,\N,ABY_GND,ABY_TWR,\N,\N,JAX_CTR
KACB,\N,\N,\N,\N,\N,MSP_CTR
KACK,ACK_DEL,ACK_GND,ACK_TWR,\N,ACK_APP,BOS_CTR
KACT,\N,ACT_GND,ACT_TWR,\N,ACT_APP,FTW_CTR
KACV,\N,\N,\N,\N,\N,SEA_CTR
KACY,ACY_DEL,ACY_GND,ACY_TWR,\N,ACY_APP,DC_CTR
KADH,\N,\N,\N,\N,\N,FTW_CTR
KADM,\N,\N,\N,\N,\N,FTW_CTR
KADS,\N,\N,\N,\N,REG_APP,FTW_CTR
